Mice,Location,Cheese for Mouse Finder,Cheese,Charm for Mouse Finder,Charm,Base for Mouse Finder,Base,AR,HT,,For Map Planner,
Monster,Mousoleum,Radioactive Blue,Radioactive Blue,,,,,1.28%,3138,Monster,Mousoleum  Radioactive Blue    ,1.28%
Black Widow,Mousoleum,Radioactive Blue,Radioactive Blue,,,,,0.15%,364,Black Widow,Mousoleum  Radioactive Blue    ,0.15%
Mummy,Mousoleum,Undead Emmental,Undead Emmental,,,,,29.39%,10303,Mummy,Mousoleum  Undead Emmental    ,29.39%
Ghost,Mousoleum,Undead Emmental,Undead Emmental,,,,,27.45%,9622,Ghost,Mousoleum  Undead Emmental    ,27.45%
Zombot Unipire,Mousoleum,Undead Emmental,Undead Emmental,,,,,11.43%,4007,Zombot Unipire,Mousoleum  Undead Emmental    ,11.43%
Vampire,Mousoleum,Undead Emmental,Undead Emmental,,,,,10.62%,3723,Vampire,Mousoleum  Undead Emmental    ,10.62%
Ravenous Zombie,Mousoleum,Undead Emmental,Undead Emmental,,,,,6.79%,2380,Ravenous Zombie,Mousoleum  Undead Emmental    ,6.79%
Gluttonous Zombie,Mousoleum,Undead Emmental,Undead Emmental,,,,,2.26%,792.1999725,Gluttonous Zombie,Mousoleum  Undead Emmental    ,2.26%
Zombie,Mousoleum,Undead Emmental,Undead Emmental,,,,,4.66%,1633,Zombie,Mousoleum  Undead Emmental    ,4.66%
Grave Robber,Mousoleum,Undead Emmental,Undead Emmental,,,,,7.40%,2593,Grave Robber,Mousoleum  Undead Emmental    ,7.40%
Limestone Miner,Muridae Market,Gouda/Brie,,Not Artisan,,,,16.00%,35535,Limestone Miner,Muridae Market      ,16.00%
Lumberjack,Muridae Market,Gouda/Brie,,Not Artisan,,,,14.24%,31628,Lumberjack,Muridae Market      ,14.24%
Glass Blower,Muridae Market,Gouda/Brie,,Not Artisan,,,,12.16%,27011,Glass Blower,Muridae Market      ,12.16%
Pie Thief,Muridae Market,Gouda/Brie,,Not Artisan,,,,14.10%,31316,Pie Thief,Muridae Market      ,14.10%
Falling Carpet,Muridae Market,Gouda/Brie,,Not Artisan,,,,10.13%,22496,Falling Carpet,Muridae Market      ,10.13%
Spice Merchant,Muridae Market,Gouda/Brie,,Not Artisan,,,,10.03%,22291,Spice Merchant,Muridae Market      ,10.03%
Market Guard,Muridae Market,Gouda/Brie,,Not Artisan,,,,8.11%,18006,Market Guard,Muridae Market      ,8.11%
Snake Charmer,Muridae Market,Gouda/Brie,,Not Artisan,,,,8.15%,18113,Snake Charmer,Muridae Market      ,8.15%
Market Thief,Muridae Market,Gouda/Brie,,Not Artisan,,,,7.09%,15760,Market Thief,Muridae Market      ,7.09%
Limestone Miner,Muridae Market,Gouda/Brie,,Artisan,Artisan,,,18.03%,16723,Limestone Miner,Muridae Market    Artisan  ,18.03%
Blacksmith,Muridae Market,Gouda/Brie,,Artisan,Artisan,,,17.66%,16379,Blacksmith,Muridae Market    Artisan  ,17.66%
Lumberjack,Muridae Market,Gouda/Brie,,Artisan,Artisan,,,16.13%,14964,Lumberjack,Muridae Market    Artisan  ,16.13%
Mage Weaver,Muridae Market,Gouda/Brie,,Artisan,Artisan,,,15.60%,14469,Mage Weaver,Muridae Market    Artisan  ,15.60%
Glass Blower,Muridae Market,Gouda/Brie,,Artisan,Artisan,,,14.10%,13080,Glass Blower,Muridae Market    Artisan  ,14.10%
Pie Thief,Muridae Market,Gouda/Brie,,Artisan,Artisan,,,10.18%,9445,Pie Thief,Muridae Market    Artisan  ,10.18%
Falling Carpet,Muridae Market,Gouda/Brie,,Artisan,Artisan,,,4.19%,3891,Falling Carpet,Muridae Market    Artisan  ,4.19%
Spice Merchant,Muridae Market,Gouda/Brie,,Artisan,Artisan,,,4.11%,3811,Spice Merchant,Muridae Market    Artisan  ,4.11%
Market Guard,Muridae Market,Gouda/Brie,,Artisan,Artisan,,,0.00%,,Market Guard,Muridae Market    Artisan  ,0.00%
Snake Charmer,Muridae Market,Gouda/Brie,,Artisan,Artisan,,,0.00%,,Snake Charmer,Muridae Market    Artisan  ,0.00%
Market Thief,Muridae Market,Gouda/Brie,,Artisan,Artisan,,,0.00%,,Market Thief,Muridae Market    Artisan  ,0.00%
Desert Nomad,Muridae Market,Gouda/Brie,,Artisan,Artisan,,,0.00%,,Desert Nomad,Muridae Market    Artisan  ,0.00%
Limestone Miner,Muridae Market,SB+,SB+,Not Artisan,,,,15.84%,10349,Limestone Miner,Muridae Market  SB+    ,15.84%
Lumberjack,Muridae Market,SB+,SB+,Not Artisan,,,,14.21%,9284,Lumberjack,Muridae Market  SB+    ,14.21%
Glass Blower,Muridae Market,SB+,SB+,Not Artisan,,,,12.02%,7856,Glass Blower,Muridae Market  SB+    ,12.02%
Spice Merchant,Muridae Market,SB+,SB+,Not Artisan,,,,9.88%,6457,Spice Merchant,Muridae Market  SB+    ,9.88%
Falling Carpet,Muridae Market,SB+,SB+,Not Artisan,,,,9.84%,6431,Falling Carpet,Muridae Market  SB+    ,9.84%
Market Thief,Muridae Market,SB+,SB+,Not Artisan,,,,9.01%,5886,Market Thief,Muridae Market  SB+    ,9.01%
Market Guard,Muridae Market,SB+,SB+,Not Artisan,,,,9.06%,5918,Market Guard,Muridae Market  SB+    ,9.06%
Desert Architect,Muridae Market,SB+,SB+,Not Artisan,,,,8.13%,5314,Desert Architect,Muridae Market  SB+    ,8.13%
Pie Thief,Muridae Market,SB+,SB+,Not Artisan,,,,5.86%,3831,Pie Thief,Muridae Market  SB+    ,5.86%
Snake Charmer,Muridae Market,SB+,SB+,Not Artisan,,,,3.15%,2059,Snake Charmer,Muridae Market  SB+    ,3.15%
Desert Nomad,Muridae Market,SB+,SB+,Not Artisan,,,,3.01%,1968,Desert Nomad,Muridae Market  SB+    ,3.01%
Blacksmith,Muridae Market,SB+,SB+,Artisan,Artisan,,,19.84%,13037,Blacksmith,Muridae Market  SB+  Artisan  ,19.84%
Limestone Miner,Muridae Market,SB+,SB+,Artisan,Artisan,,,18.24%,11982,Limestone Miner,Muridae Market  SB+  Artisan  ,18.24%
Mage Weaver,Muridae Market,SB+,SB+,Artisan,Artisan,,,17.42%,11443,Mage Weaver,Muridae Market  SB+  Artisan  ,17.42%
Lumberjack,Muridae Market,SB+,SB+,Artisan,Artisan,,,15.85%,10415,Lumberjack,Muridae Market  SB+  Artisan  ,15.85%
Glass Blower,Muridae Market,SB+,SB+,Artisan,Artisan,,,14.22%,9344,Glass Blower,Muridae Market  SB+  Artisan  ,14.22%
Desert Architect,Muridae Market,SB+,SB+,Artisan,Artisan,,,7.95%,5226,Desert Architect,Muridae Market  SB+  Artisan  ,7.95%
Pie Thief,Muridae Market,SB+,SB+,Artisan,Artisan,,,2.21%,1451,Pie Thief,Muridae Market  SB+  Artisan  ,2.21%
Spice Merchant,Muridae Market,SB+,SB+,Artisan,Artisan,,,2.18%,1435,Spice Merchant,Muridae Market  SB+  Artisan  ,2.18%
Falling Carpet,Muridae Market,SB+,SB+,Artisan,Artisan,,,2.09%,1372,Falling Carpet,Muridae Market  SB+  Artisan  ,2.09%
Market Guard,Muridae Market,SB+,SB+,Artisan,Artisan,,,0.00%,,,,
Snake Charmer,Muridae Market,SB+,SB+,Artisan,Artisan,,,0.00%,,,,
Market Thief,Muridae Market,SB+,SB+,Artisan,Artisan,,,0.00%,,,,
Desert Nomad,Muridae Market,SB+,SB+,Artisan,Artisan,,,0.00%,,,,
Chameleon,Nerg Plains,Brie,,,,,,28.37%,3385,Chameleon,Nerg Plains      ,28.37%
Beast Tamer,Nerg Plains,Brie,,,,,,9.79%,1168,Beast Tamer,Nerg Plains      ,9.79%
Alnilam,Nerg Plains,Brie,,,,,,9.67%,1154,Alnilam,Nerg Plains      ,9.67%
Conqueror,Nerg Plains,Brie,,,,,,9.52%,1136,Conqueror,Nerg Plains      ,9.52%
Conjurer,Nerg Plains,Brie,,,,,,9.37%,1118,Conjurer,Nerg Plains      ,9.37%
Narrator,Nerg Plains,Brie,,,,,,9.79%,1168,Narrator,Nerg Plains      ,9.79%
Caretaker,Nerg Plains,Brie,,,,,,9.27%,1106,Caretaker,Nerg Plains      ,9.27%
Pathfinder,Nerg Plains,Brie,,,,,,9.52%,1136,Pathfinder,Nerg Plains      ,9.52%
Finder,Nerg Plains,Brie,,,,,,4.69%,560,Finder,Nerg Plains      ,4.69%
Beast Tamer,Nerg Plains,Gouda,Gouda,,,,,15.91%,34762,Beast Tamer,Nerg Plains  Gouda    ,15.91%
Conqueror,Nerg Plains,Gouda,Gouda,,,,,15.96%,34873,Conqueror,Nerg Plains  Gouda    ,15.96%
Conjurer,Nerg Plains,Gouda,Gouda,,,,,15.83%,34594,Conjurer,Nerg Plains  Gouda    ,15.83%
Alnilam,Nerg Plains,Gouda,Gouda,,,,,15.91%,34776,Alnilam,Nerg Plains  Gouda    ,15.91%
Finder,Nerg Plains,Gouda,Gouda,,,,,11.93%,26069,Finder,Nerg Plains  Gouda    ,11.93%
Narrator,Nerg Plains,Gouda,Gouda,,,,,8.65%,18902,Narrator,Nerg Plains  Gouda    ,8.65%
Pathfinder,Nerg Plains,Gouda,Gouda,,,,,7.95%,17380,Pathfinder,Nerg Plains  Gouda    ,7.95%
Caretaker,Nerg Plains,Gouda,Gouda,,,,,7.86%,17166,Caretaker,Nerg Plains  Gouda    ,7.86%
Defender,Nerg Plains,Gumbo,Gumbo,,,,,57.33%,85222,Defender,Nerg Plains  Gumbo    ,57.33%
Slayer,Nerg Plains,Gumbo,Gumbo,,,,,28.39%,42207,Slayer,Nerg Plains  Gumbo    ,28.39%
Nerg Chieftain,Nerg Plains,Gumbo,Gumbo,,,,,14.28%,21226,Nerg Chieftain,Nerg Plains  Gumbo    ,14.28%
Conqueror,Nerg Plains,SB+,SB+,,,,,17.76%,2861,Conqueror,Nerg Plains  SB+    ,17.76%
Finder,Nerg Plains,SB+,SB+,,,,,17.22%,2774,Finder,Nerg Plains  SB+    ,17.22%
Conjurer,Nerg Plains,SB+,SB+,,,,,16.92%,2726,Conjurer,Nerg Plains  SB+    ,16.92%
Alnilam,Nerg Plains,SB+,SB+,,,,,17.04%,2745,Alnilam,Nerg Plains  SB+    ,17.04%
Beast Tamer,Nerg Plains,SB+,SB+,,,,,17.03%,2743,Beast Tamer,Nerg Plains  SB+    ,17.03%
Narrator,Nerg Plains,SB+,SB+,,,,,4.69%,755,Narrator,Nerg Plains  SB+    ,4.69%
Caretaker,Nerg Plains,SB+,SB+,,,,,4.41%,710,Caretaker,Nerg Plains  SB+    ,4.41%
Pathfinder,Nerg Plains,SB+,SB+,,,,,4.13%,666,Pathfinder,Nerg Plains  SB+    ,4.13%
Black Widow,Nerg Plains,SB+,SB+,,,,,0.81%,130,Black Widow,Nerg Plains  SB+    ,0.81%
Hapless,Pinnacle Chamber,SB+/Gouda/Brie,,,,,,100.00%,4210,Hapless,Pinnacle Chamber      ,100.00%
Dojo Sensei,Pinnacle Chamber,Onyx Gorgonzola,Onyx Gorgonzola,,,,,100.00%,136591,Dojo Sensei,Pinnacle Chamber  Onyx Gorgonzola    ,100.00%
Master of the Dojo,Pinnacle Chamber,Rumble,Rumble,,,,,100.00%,167497,Master of the Dojo,Pinnacle Chamber  Rumble    ,100.00%
King Grub,Sand Crypts,Graveblossom Camembert,,Grub Scent,Grub Scent,,,100.00%,45424,King Grub,Sand Crypts    Grub Scent  ,100.00%
Sand Colossus,Sand Crypts,Graveblossom Camembert,,Grub Scent,Grub Scent,,,0.00%,,,,
Sarcophamouse,Sand Crypts,Graveblossom Camembert,,Grub Scent,Grub Scent,,,0.00%,,,,
Scarab,Sand Crypts,Graveblossom Camembert,,Grub Scent,Grub Scent,,,0.00%,,,,
Serpentine,Sand Crypts,Graveblossom Camembert,,Grub Scent,Grub Scent,,,0.00%,,,,
King Scarab,Sand Crypts,Graveblossom Camembert,,Shattering,Shattering,,,100.00%,4004,King Scarab,Sand Crypts    Shattering  ,100.00%
Sand Colossus,Sand Crypts,Graveblossom Camembert,,Shattering,Shattering,,,0.00%,,,,
Sarcophamouse,Sand Crypts,Graveblossom Camembert,,Shattering,Shattering,,,0.00%,,,,
Scarab,Sand Crypts,Graveblossom Camembert,,Shattering,Shattering,,,0.00%,,,,
Serpentine,Sand Crypts,Graveblossom Camembert,,Shattering,Shattering,,,0.00%,,,,
Sand Colossus,Sand Crypts,Graveblossom Camembert,,,,,,24.97%,138333,Sand Colossus,Sand Crypts      ,24.97%
Sarcophamouse,Sand Crypts,Graveblossom Camembert,,,,,,25.08%,138932,Sarcophamouse,Sand Crypts      ,25.08%
Scarab,Sand Crypts,Graveblossom Camembert,,,,,,24.98%,138404,Scarab,Sand Crypts      ,24.98%
Serpentine,Sand Crypts,Graveblossom Camembert,,,,,,24.97%,138335,Serpentine,Sand Crypts      ,24.97%
Dunehopper,Sand Dunes (No Stampede),Dewthief Camembert,,,,,,25.07%,66341,Dunehopper,Sand Dunes (No Stampede)      ,25.07%
Grubling Herder,Sand Dunes (No Stampede),Dewthief Camembert,,,,,,10.06%,26631,Grubling Herder,Sand Dunes (No Stampede)      ,10.06%
Quesodillo,Sand Dunes (No Stampede),Dewthief Camembert,,,,,,24.90%,65893,Quesodillo,Sand Dunes (No Stampede)      ,24.90%
Sand Pilgrim,Sand Dunes (No Stampede),Dewthief Camembert,,,,,,20.06%,53091,Sand Pilgrim,Sand Dunes (No Stampede)      ,20.06%
Spiky Devil,Sand Dunes (No Stampede),Dewthief Camembert,,,,,,19.91%,52706,Spiky Devil,Sand Dunes (No Stampede)      ,19.91%
Dunehopper,Sand Dunes (Stampede),Dewthief Camembert,,Not Grubling Chow,,,,24.91%,21615,Dunehopper,Sand Dunes (Stampede)      ,24.91%
Grubling Herder,Sand Dunes (Stampede),Dewthief Camembert,,Not Grubling Chow,,,,9.96%,8644,Grubling Herder,Sand Dunes (Stampede)      ,9.96%
Quesodillo,Sand Dunes (Stampede),Dewthief Camembert,,Not Grubling Chow,,,,25.10%,21782,Quesodillo,Sand Dunes (Stampede)      ,25.10%
Sand Pilgrim,Sand Dunes (Stampede),Dewthief Camembert,,Not Grubling Chow,,,,19.92%,17281,Sand Pilgrim,Sand Dunes (Stampede)      ,19.92%
Spiky Devil,Sand Dunes (Stampede),Dewthief Camembert,,Not Grubling Chow,,,,20.11%,17446,Spiky Devil,Sand Dunes (Stampede)      ,20.11%
Dunehopper,Sand Dunes (Stampede),Dewthief Camembert,,Grubling Chow,Grubling Chow,,,18.97%,47086,Dunehopper,Sand Dunes (Stampede)    Grubling Chow  ,18.97%
Grubling,Sand Dunes (Stampede),Dewthief Camembert,,Grubling Chow,Grubling Chow,,,24.47%,60759,Grubling,Sand Dunes (Stampede)    Grubling Chow  ,24.47%
Grubling Herder,Sand Dunes (Stampede),Dewthief Camembert,,Grubling Chow,Grubling Chow,,,7.53%,18702,Grubling Herder,Sand Dunes (Stampede)    Grubling Chow  ,7.53%
Quesodillo,Sand Dunes (Stampede),Dewthief Camembert,,Grubling Chow,Grubling Chow,,,18.84%,46775,Quesodillo,Sand Dunes (Stampede)    Grubling Chow  ,18.84%
Sand Pilgrim,Sand Dunes (Stampede),Dewthief Camembert,,Grubling Chow,Grubling Chow,,,15.13%,37558,Sand Pilgrim,Sand Dunes (Stampede)    Grubling Chow  ,15.13%
Spiky Devil,Sand Dunes (Stampede),Dewthief Camembert,,Grubling Chow,Grubling Chow,,,15.06%,37378,Spiky Devil,Sand Dunes (Stampede)    Grubling Chow  ,15.06%
Briegull,S.S. Huntington III,Gouda/Brie,,,,,,12.57%,20201,Briegull,S.S. Huntington III      ,12.57%
Salt Water Snapper,S.S. Huntington III,Gouda/Brie,,,,,,10.19%,16372,Salt Water Snapper,S.S. Huntington III      ,10.19%
Buccaneer,S.S. Huntington III,Gouda/Brie,,,,,,9.20%,14784,Buccaneer,S.S. Huntington III      ,9.20%
Pirate,S.S. Huntington III,Gouda/Brie,,,,,,8.48%,13626,Pirate,S.S. Huntington III      ,8.48%
Pinchy,S.S. Huntington III,Gouda/Brie,,,,,,8.47%,13614,Pinchy,S.S. Huntington III      ,8.47%
Shipwrecked,S.S. Huntington III,Gouda/Brie,,,,,,8.41%,13518,Shipwrecked,S.S. Huntington III      ,8.41%
Siren,S.S. Huntington III,Gouda/Brie,,,,,,7.78%,12506,Siren,S.S. Huntington III      ,7.78%
Water Nymph,S.S. Huntington III,Gouda/Brie,,,,,,6.42%,10321,Water Nymph,S.S. Huntington III      ,6.42%
Captain,S.S. Huntington III,Gouda/Brie,,,,,,5.79%,9305,Captain,S.S. Huntington III      ,5.79%
Bottled,S.S. Huntington III,Gouda/Brie,,,,,,5.50%,8837,Bottled,S.S. Huntington III      ,5.50%
Hydra,S.S. Huntington III,Gouda/Brie,,,,,,4.62%,7427,Hydra,S.S. Huntington III      ,4.62%
Squeaken,S.S. Huntington III,Gouda/Brie,,,,,,4.54%,7302,Squeaken,S.S. Huntington III      ,4.54%
Leviathan,S.S. Huntington III,Gouda/Brie,,,,,,4.58%,7359,Leviathan,S.S. Huntington III      ,4.58%
Swabbie,S.S. Huntington III,Gouda/Brie,,,,,,1.86%,2997,Swabbie,S.S. Huntington III      ,1.86%
Mermouse,S.S. Huntington III,Gouda/Brie,,,,,,1.40%,2243,Mermouse,S.S. Huntington III      ,1.40%
Shelder,S.S. Huntington III,Gouda/Brie,,,,,,0.19%,301,Shelder,S.S. Huntington III      ,0.19%
Salt Water Snapper,S.S. Huntington III,SB+,SB+,,,,,10.09%,13043,Salt Water Snapper,S.S. Huntington III  SB+    ,10.09%
Buccaneer,S.S. Huntington III,SB+,SB+,,,,,9.24%,11950,Buccaneer,S.S. Huntington III  SB+    ,9.24%
Pirate,S.S. Huntington III,SB+,SB+,,,,,8.60%,11117,Pirate,S.S. Huntington III  SB+    ,8.60%
Pinchy,S.S. Huntington III,SB+,SB+,,,,,8.48%,10965,Pinchy,S.S. Huntington III  SB+    ,8.48%
Shipwrecked,S.S. Huntington III,SB+,SB+,,,,,8.37%,10818,Shipwrecked,S.S. Huntington III  SB+    ,8.37%
Water Nymph,S.S. Huntington III,SB+,SB+,,,,,6.52%,8425,Water Nymph,S.S. Huntington III  SB+    ,6.52%
Siren,S.S. Huntington III,SB+,SB+,,,,,7.79%,10076,Siren,S.S. Huntington III  SB+    ,7.79%
Captain,S.S. Huntington III,SB+,SB+,,,,,5.87%,7593,Captain,S.S. Huntington III  SB+    ,5.87%
Briegull,S.S. Huntington III,SB+,SB+,,,,,6.09%,7869,Briegull,S.S. Huntington III  SB+    ,6.09%
Squeaken,S.S. Huntington III,SB+,SB+,,,,,4.66%,6031,Squeaken,S.S. Huntington III  SB+    ,4.66%
Bottled,S.S. Huntington III,SB+,SB+,,,,,5.51%,7131,Bottled,S.S. Huntington III  SB+    ,5.51%
Leviathan,S.S. Huntington III,SB+,SB+,,,,,4.64%,6005,Leviathan,S.S. Huntington III  SB+    ,4.64%
Hydra,S.S. Huntington III,SB+,SB+,,,,,4.74%,6131,Hydra,S.S. Huntington III  SB+    ,4.74%
Nibbler,S.S. Huntington III,SB+,SB+,,,,,4.05%,5243,Nibbler,S.S. Huntington III  SB+    ,4.05%
Cook,S.S. Huntington III,SB+,SB+,,,,,2.39%,3089,Cook,S.S. Huntington III  SB+    ,2.39%
Mermouse,S.S. Huntington III,SB+,SB+,,,,,1.42%,1834,Mermouse,S.S. Huntington III  SB+    ,1.42%
Crown Collector,S.S. Huntington III,SB+,SB+,,,,,1.16%,1506,Crown Collector,S.S. Huntington III  SB+    ,1.16%
Swabbie,S.S. Huntington III,SB+,SB+,,,,,0.19%,245,Swabbie,S.S. Huntington III  SB+    ,0.19%
Shelder,S.S. Huntington III,SB+,SB+,,,,,0.18%,238,Shelder,S.S. Huntington III  SB+    ,0.18%
Harvest Harrier,Seasonal Garden - Fall,Gouda/Brie,,,,,,36.88%,70199,Harvest Harrier,Seasonal Garden - Fall      ,36.88%
Pumpkin Head,Seasonal Garden - Fall,Gouda/Brie,,,,,,21.10%,40163,Pumpkin Head,Seasonal Garden - Fall      ,21.10%
Scarecrow,Seasonal Garden - Fall,Gouda/Brie,,,,,,20.99%,39956,Scarecrow,Seasonal Garden - Fall      ,20.99%
Whirleygig,Seasonal Garden - Fall,Gouda/Brie,,,,,,15.69%,29866,Whirleygig,Seasonal Garden - Fall      ,15.69%
Harvester,Seasonal Garden - Fall,Gouda/Brie,,,,,,5.34%,10161,Harvester,Seasonal Garden - Fall      ,5.34%
Harvest Harrier,Seasonal Garden - Fall,SB+,SB+,,,,,34.98%,18869,Harvest Harrier,Seasonal Garden - Fall  SB+    ,34.98%
Pumpkin Head,Seasonal Garden - Fall,SB+,SB+,,,,,20.19%,10893,Pumpkin Head,Seasonal Garden - Fall  SB+    ,20.19%
Scarecrow,Seasonal Garden - Fall,SB+,SB+,,,,,19.85%,10708,Scarecrow,Seasonal Garden - Fall  SB+    ,19.85%
Whirleygig,Seasonal Garden - Fall,SB+,SB+,,,,,14.84%,8006,Whirleygig,Seasonal Garden - Fall  SB+    ,14.84%
Fall Familiar,Seasonal Garden - Fall,SB+,SB+,,,,,5.16%,2784,Fall Familiar,Seasonal Garden - Fall  SB+    ,5.16%
Harvester,Seasonal Garden - Fall,SB+,SB+,,,,,4.98%,2686,Harvester,Seasonal Garden - Fall  SB+    ,4.98%
Puddlemancer,Seasonal Garden - Spring,Gouda/Brie,,,,,,36.82%,76580,Puddlemancer,Seasonal Garden - Spring      ,36.82%
Tanglefoot,Seasonal Garden - Spring,Gouda/Brie,,,,,,31.68%,65873,Tanglefoot,Seasonal Garden - Spring      ,31.68%
Hydrophobe,Seasonal Garden - Spring,Gouda/Brie,,,,,,15.75%,32746,Hydrophobe,Seasonal Garden - Spring      ,15.75%
Derpicorn,Seasonal Garden - Spring,Gouda/Brie,,,,,,10.42%,21664,Derpicorn,Seasonal Garden - Spring      ,10.42%
Vinetail,Seasonal Garden - Spring,Gouda/Brie,,,,,,5.34%,11098,Vinetail,Seasonal Garden - Spring      ,5.34%
Puddlemancer,Seasonal Garden - Spring,SB+,SB+,,,,,35.34%,16974,Puddlemancer,Seasonal Garden - Spring  SB+    ,35.34%
Tanglefoot,Seasonal Garden - Spring,SB+,SB+,,,,,29.66%,14246,Tanglefoot,Seasonal Garden - Spring  SB+    ,29.66%
Hydrophobe,Seasonal Garden - Spring,SB+,SB+,,,,,15.08%,7245,Hydrophobe,Seasonal Garden - Spring  SB+    ,15.08%
Derpicorn,Seasonal Garden - Spring,SB+,SB+,,,,,9.97%,4790,Derpicorn,Seasonal Garden - Spring  SB+    ,9.97%
Vinetail,Seasonal Garden - Spring,SB+,SB+,,,,,5.05%,2428,Vinetail,Seasonal Garden - Spring  SB+    ,5.05%
Spring Familiar,Seasonal Garden - Spring,SB+,SB+,,,,,4.89%,2351,Spring Familiar,Seasonal Garden - Spring  SB+    ,4.89%
Stinger,Seasonal Garden - Summer,Gouda/Brie,,,,,,25.13%,53427,Stinger,Seasonal Garden - Summer      ,25.13%
Firebreather,Seasonal Garden - Summer,Gouda/Brie,,,,,,19.95%,42410,Firebreather,Seasonal Garden - Summer      ,19.95%
Firefly,Seasonal Garden - Summer,Gouda/Brie,,,,,,19.95%,42416,Firefly,Seasonal Garden - Summer      ,19.95%
Monarch,Seasonal Garden - Summer,Gouda/Brie,,,,,,14.92%,31716,Monarch,Seasonal Garden - Summer      ,14.92%
Hot Head,Seasonal Garden - Summer,Gouda/Brie,,,,,,15.03%,31967,Hot Head,Seasonal Garden - Summer      ,15.03%
Summer Mage,Seasonal Garden - Summer,Gouda/Brie,,,,,,5.03%,10689,Summer Mage,Seasonal Garden - Summer      ,5.03%
Stinger,Seasonal Garden - Summer,SB+,SB+,,,,,24.64%,9163,Stinger,Seasonal Garden - Summer  SB+    ,24.64%
Firefly,Seasonal Garden - Summer,SB+,SB+,,,,,20.30%,7550,Firefly,Seasonal Garden - Summer  SB+    ,20.30%
Firebreather,Seasonal Garden - Summer,SB+,SB+,,,,,19.94%,7415,Firebreather,Seasonal Garden - Summer  SB+    ,19.94%
Monarch,Seasonal Garden - Summer,SB+,SB+,,,,,15.20%,5654,Monarch,Seasonal Garden - Summer  SB+    ,15.20%
Hot Head,Seasonal Garden - Summer,SB+,SB+,,,,,14.88%,5536,Hot Head,Seasonal Garden - Summer  SB+    ,14.88%
Summer Mage,Seasonal Garden - Summer,SB+,SB+,,,,,5.04%,1876,Summer Mage,Seasonal Garden - Summer  SB+    ,5.04%
Icicle,Seasonal Garden - Winter,Gouda/Brie,,,,,,25.02%,52984,Icicle,Seasonal Garden - Winter      ,25.02%
Bruticle,Seasonal Garden - Winter,Gouda/Brie,,,,,,20.09%,42530,Bruticle,Seasonal Garden - Winter      ,20.09%
Frostbite,Seasonal Garden - Winter,Gouda/Brie,,,,,,19.93%,42203,Frostbite,Seasonal Garden - Winter      ,19.93%
Penguin,Seasonal Garden - Winter,Gouda/Brie,,,,,,15.00%,31754,Penguin,Seasonal Garden - Winter      ,15.00%
Over-Prepared,Seasonal Garden - Winter,Gouda/Brie,,,,,,14.88%,31509,Over-Prepared,Seasonal Garden - Winter      ,14.88%
Winter Mage,Seasonal Garden - Winter,Gouda/Brie,,,,,,5.08%,10763,Winter Mage,Seasonal Garden - Winter      ,5.08%
Icicle,Seasonal Garden - Winter,SB+,SB+,,,,,25.01%,9910,Icicle,Seasonal Garden - Winter  SB+    ,25.01%
Frostbite,Seasonal Garden - Winter,SB+,SB+,,,,,19.87%,7871,Frostbite,Seasonal Garden - Winter  SB+    ,19.87%
Bruticle,Seasonal Garden - Winter,SB+,SB+,,,,,19.80%,7845,Bruticle,Seasonal Garden - Winter  SB+    ,19.80%
Over-Prepared,Seasonal Garden - Winter,SB+,SB+,,,,,14.96%,5928,Over-Prepared,Seasonal Garden - Winter  SB+    ,14.96%
Penguin,Seasonal Garden - Winter,SB+,SB+,,,,,15.21%,6027,Penguin,Seasonal Garden - Winter  SB+    ,15.21%
Winter Mage,Seasonal Garden - Winter,SB+,SB+,,,,,5.14%,2036,Winter Mage,Seasonal Garden - Winter  SB+    ,5.14%
Chipper,Slushy Shoreline,Gouda/Brie,,Not Softserve,,,,19.51%,12714,Chipper,Slushy Shoreline      ,19.51%
Snow Slinger,Slushy Shoreline,Gouda/Brie,,Not Softserve,,,,15.00%,9777,Snow Slinger,Slushy Shoreline      ,15.00%
Snow Soldier,Slushy Shoreline,Gouda/Brie,,Not Softserve,,,,15.23%,9929,Snow Soldier,Slushy Shoreline      ,15.23%
Polar Bear,Slushy Shoreline,Gouda/Brie,,Not Softserve,,,,14.93%,9732,Polar Bear,Slushy Shoreline      ,14.93%
Snow Bowler,Slushy Shoreline,Gouda/Brie,,Not Softserve,,,,19.34%,12609,Snow Bowler,Slushy Shoreline      ,19.34%
Snow Sniper,Slushy Shoreline,Gouda/Brie,,Not Softserve,,,,0.48%,312,Snow Sniper,Slushy Shoreline      ,0.48%
Incompetent Ice Climber,Slushy Shoreline,Gouda/Brie,,Not Softserve,,,,15.51%,10108,Incompetent Ice Climber,Slushy Shoreline      ,15.51%
Snow Slinger,Slushy Shoreline,Gouda/Brie,,Softserve,Softserve,,,14.96%,41943,Snow Slinger,Slushy Shoreline    Softserve  ,14.96%
Snow Sniper,Slushy Shoreline,Gouda/Brie,,Softserve,Softserve,,,14.96%,41934,Snow Sniper,Slushy Shoreline    Softserve  ,14.96%
Chipper,Slushy Shoreline,Gouda/Brie,,Softserve,Softserve,,,15.05%,42187,Chipper,Slushy Shoreline    Softserve  ,15.05%
Snow Soldier,Slushy Shoreline,Gouda/Brie,,Softserve,Softserve,,,10.08%,28255,Snow Soldier,Slushy Shoreline    Softserve  ,10.08%
