Mice,Location,Cheese for Mouse Finder,Cheese,Charm for Mouse Finder,Charm,Base for Mouse Finder,Base,AR,HT,,For Map Planner,
Cybernetic Specialist,Burroughs Rift,Swiss String,Swiss String,,,,,9.55%,8410,,,
Doktor,Burroughs Rift,Swiss String,Swiss String,,,,,2.42%,2135,,,
Evil Scientist,Burroughs Rift,Swiss String,Swiss String,,,,,2.39%,2102,,,
Lycanoid,Burroughs Rift,Swiss String,Swiss String,,,,,8.79%,7741,,,
Monstrous Abomination,Burroughs Rift,Swiss String,Swiss String,,,,,8.22%,7239,,,
Phase Zombie,Burroughs Rift,Swiss String,Swiss String,,,,,4.04%,3554,,,
Prototype,Burroughs Rift,Swiss String,Swiss String,,,,,2.18%,1919,,,
Revenant,Burroughs Rift,Swiss String,Swiss String,,,,,8.75%,7704,,,
Rift Bio Engineer,Burroughs Rift,Swiss String,Swiss String,,,,,9.47%,8343,,,
Robat,Burroughs Rift,Swiss String,Swiss String,,,,,2.94%,2588,,,
Surgeon Bot,Burroughs Rift,Swiss String,Swiss String,,,,,4.79%,4221,,,
Tech Ravenous Zombie,Burroughs Rift,Swiss String,Swiss String,,,,,5.67%,4996,,,
Zombot Unipire the Third,Burroughs Rift,Swiss String,Swiss String,,,,,6.86%,6044,,,
Amplified Brown,Burroughs Rift,Brie String,Brie String,,,,,1.50%,1758,,,
Amplified Grey,Burroughs Rift,Brie String,Brie String,,,,,1.52%,1777,,,
Amplified White,Burroughs Rift,Brie String,Brie String,,,,,1.49%,1744,,,
Automated Sentry,Burroughs Rift,Brie String,Brie String,,,,,4.36%,5113,,,
Count Vampire,Burroughs Rift,Brie String,Brie String,,,,,5.77%,6765,,,
Cybernetic Specialist,Burroughs Rift,Brie String,Brie String,,,,,1.51%,1766,,,
Doktor,Burroughs Rift,Brie String,Brie String,,,,,5.98%,7013,,,
Evil Scientist,Burroughs Rift,Brie String,Brie String,,,,,5.85%,6858,,,
Lycanoid,Burroughs Rift,Brie String,Brie String,,,,,12.12%,14202,,,
Monstrous Abomination,Burroughs Rift,Brie String,Brie String,,,,,10.92%,12799,,,
